Word,Meaning,"Sentence","SentencePinyin","SentenceTranslation"
一,One,"我有一本書。","Wǒ yǒu yī běn shū.","I have one book."
在,At,"他在學校。","Tā zài xuéxiào.","He is at school."
有,Have,"我有一個朋友在台灣。","Wǒ yǒu yīgè péngyǒu zài Táiwān.","I have a friend in Taiwan."
個,A/An (measure word),"這是一個蘋果。","Zhè shì yīgè píngguǒ.","This is an apple."
我,I,"我喜歡吃飯。","Wǒ xǐhuān chīfàn.","I like to eat."
不,No/Not,"我不要。","Wǒ bù yào.","I don’t want."
這,This,"這是我的筆。","Zhè shì wǒ de bǐ.","This is my pen."
他,He,"他是我的朋友。","Tā shì wǒ de péngyǒu.","He is my friend."
也,Also,"我也喜歡。","Wǒ yě xǐhuān.","I also like it."
就,Then/Just,"我就知道了。","Wǒ jiù zhīdào le.","I knew it then."
人,Person,"他是一個好人。","Tā shì yīgè hǎo rén.","He is a good person."
都,All,"我們都是學生。","Wǒmen dōu shì xuéshēng.","We are all students."
說,Say,"他說他喜歡。","Tā shuō tā xǐhuān.","He said he likes it."
而,And/But,"他固執而聰明。","Tā gùzhí ér cōngmíng.","He is stubborn and smart."
們,We/Us (plural marker),"我們去公園。","Wǒmen qù gōngyuán.","We are going to the park."
你,You,"你怎麼了？","Nǐ zěnme le?","What happened to you?"
了,Indicates action completion,"我吃飯了。","Wǒ chīfàn le.","I have eaten."
要,Want,"我要那個。","Wǒ yào nàgè.","I want that one."
會,Can/Will/Know how to,"我會游泳。","Wǒ huì yóuyǒng.","I can swim."
對,Right/Correct,"你說得對。","Nǐ shuō dé duì.","You are right."
及,And,"時間及地點。","Shíjiān jí dìdiǎn.","Time and place."
和,And,"我和他是朋友。","Wǒ hé tā shì péngyǒu.","He and I are friends."
與,And/With,"他與我同行。","Tā yǔ wǒ tóngháng.","He went with me."
以,By/With,"以這種方式。","Yǐ zhè zhǒng fāngshì.","In this way."
很,Very,"這很好。","Zhè hěn hǎo.","This is very good."
種,Kind/Type,"這種蘋果很甜。","Zhè zhǒng píngguǒ hěn tián.","This kind of apple is very sweet."
的,Of/The,"這是我的車。","Zhè shì wǒ de chē.","This is my car."
